# simTime drag lift presDiff dispAx dispAy aleNorm aleTime flowTime beamTime couplingIter flowIter beamIter omega resAbs resRel
1.56 125.268 2.58989 1799 6.46246e-05 -2.32208e-05 3.08381e-05 334.148 2504.68 304.612 8 3 3 0.660527 1.60075e-11 7.3575e-05
1.57 125.703 2.57941 1808.88 6.40694e-05 -2.5754e-06 3.12763e-05 337.176 2526.68 307.377 8 3 3 0.653809 1.54839e-11 7.0454e-05
1.58 126.12 2.56896 1818.5 6.35127e-05 1.84081e-05 3.19922e-05 340.204 2548.66 310.141 8 3 3 0.647125 1.49204e-11 6.73959e-05
1.59 126.521 2.55889 1827.86 6.2955e-05 3.96224e-05 3.29761e-05 343.248 2570.68 312.906 8 3 3 0.640724 1.44095e-11 6.48003e-05
1.6 126.903 2.54953 1836.95 6.23962e-05 6.09571e-05 3.42075e-05 346.276 2592.67 315.67 8 3 3 0.634903 1.40866e-11 6.3249e-05
1.61 127.268 2.5412 1845.76 6.18368e-05 8.23006e-05 3.56579e-05 349.304 2614.67 318.434 8 3 3 0.629942 1.41116e-11 6.34442e-05
1.62 127.615 2.53421 1854.28 6.12766e-05 0.000103542 3.7294e-05 352.332 2636.65 321.197 8 3 3 0.626049 1.46148e-11 6.59794e-05
1.63 127.943 2.52883 1862.51 6.07162e-05 0.000124571 3.90806e-05 355.358 2658.7 323.961 8 3 3 0.62328 1.56314e-11 7.10597e-05
1.64 128.253 2.52528 1870.44 6.01553e-05 0.000145282 4.09824e-05 358.386 2680.68 326.726 8 3 3 0.621544 1.70694e-11 7.83475e-05
1.65 128.545 2.52377 1878.07 5.95946e-05 0.000165574 4.29659e-05 361.413 2702.67 329.491 8 3 3 0.620631 1.87341e-11 8.70472e-05
1.66 128.817 2.52443 1885.38 5.90338e-05 0.000185351 4.5e-05 364.441 2724.74 332.257 8 3 3 0.620288 2.03916e-11 9.61536e-05
1.67 129.071 2.52737 1892.37 5.84734e-05 0.000204527 4.7057e-05 367.468 2746.72 335.022 8 3 3 0.620263 2.18255e-11 0.000104686
